Ginza Hachigo(Chuo)	中央区銀座3-14-2第一はなぶさビル1F
Ramen Thunderbird(Chuo)	中央区日本橋小網町4-4カネカビル1F
ShibireNoodle(Chuo)	中央区銀座三丁目5-16島田ビル1F
SoranoiroTonkotsu&Kinoko(Chuo)	中央区京橋2-2-1京橋エドグランB1F
LR	
Sugimoto Ramen(Nagano)	中野区鷺宮4-2-3
Kashiwagi(Nagano)	中野区東中野1-36-7
Hanamichi(Nagano)	中野区野方6-23-12
Mendokoro Kinari(Nagano)	中野区東中野1-51-4大総ビル1F
Shokudo Shichisai(Nagano)	中野区鷺宮3-1-12
Saikoro(Nagano)	中野区中野2-28-8
Muteppou(Nagano)	中野区江古田4-5-1
Miso Mendokoro Kaede(Nagano)	中野区野方6-23-12
Aoba Nakano Honten(Nagano)	中野区中野5-58-1
Hashimoto(Nagano)	中野区新井1-25-4
Hanayama(Nagano)	中野区中野3-33-15
LR	
Sansanto(Kita)	北区中十条3-16-15
Ramen Honda(Kita)	北区東十条1-22-6
Ito(Kita)	北区豊島4-5-3
Ramen Fujimaru(Kita)	北区神谷3-29-11
Niboshi SobaRU(Kita)	北区上十条1-13-2
Ramen Takahashi(Kita)	北区赤羽1-38-10
Natsumi(Kita)	北区赤羽1-18-4
Kabo Chan(Kita)	北区西ヶ原1-54-1
Kijouno Kuuron(Kita)	北区東十条3-11-5
LR	
Tsukesoba Katsumoto Kanda(Chiyoda)	千代田区猿楽町1-2-4
Aoshima Shokudō(Chiyoda)	千代田区神田佐久間町3-20-1大杉ビル1F
Motenashi Kuroki(Chiyoda)	千代田区神田和泉町2-15
Katsumoto(Chiyoda)	千代田区三崎町2-15-5三崎町SSビル1F
Yatagarasu(Chiyoda)	千代田区九段北1-9-2
Jinbocho Kurosu(Chiyoda)	千代田区神田神保町3-1-19
Karashibimiso Ramen Kikanbo(Chiyoda)	千代田区鍛冶町2-10-10
Nikaido(Chiyoda)	千代田区飯田橋2-3-7
MatsudoTomitaNoodles Kizuna(Chiyoda)	千代田区丸の内2-7-2KITTE丸の内キッテグランシェ内
Ebimaru(Chiyoda)	千代田区西神田2-1-13十勝ビル1F
WaizuKanda Ramen(Chiyoda)	千代田区内神田3-9-6大熊ビル1F
Mumei(Chiyoda)	千代田区神田東松下町49
Nanahasu(Chiyoda)	千代田区鍛冶町1-7-1五番館第2ビル1F
Rokurinsha(Chiyoda)	千代田区丸の内1-9-1東京駅一番街地下南通り東京ラーメンストリート
LR	
Chukasoba Ranchu(Suginami)	杉並区堀ノ内2-13-13
Menson Rage(Suginami)	杉並区松庵3-37-22
Yama-to-ki(Suginami)	杉並区高円寺南5-21-7高円寺マンション107
Uchoku(Suginami)	杉並区天沼3-10-16プラザ荻窪102
Junteuchi Daruma(Suginami)	杉並区和田1-18-3
MendokoroIsshou(Suginami)	杉並区阿佐谷南1-9-5
BonitoSoup Noodle RAIK(Suginami)	杉並区大宮1-2-3
Harukiya Ogikubo(Suginami)	杉並区上荻1-4-6
Ramen CiQUE(Suginami)	杉並区阿佐谷南3-10-8
Goryōkaku(Suginami)	杉並区天沼3-28-7
LR	
Ibuki(Itabashi)	板橋区前野町4-58-10
Kotobuki Seimen Yoshikawa NishidaiEkimae-ten(Itabashi)	板橋区蓮根3-8-14
Kojimaryū(Itabashi)	板橋区本町32-12サンライフ本町101
Soupmen(Itabashi)	板橋区南常盤台1-26-9
